"subject_id","story","social_interaction","relationship","likert_rating","normalized_likert_rating"
"850b781d0f6eeb84a6108569a2b4cf5a","scheduling","no_interaction","symmetric",1,0.111111111111111
"850b781d0f6eeb84a6108569a2b4cf5a","scheduling","no_interaction","none",7,0.777777777777778
"850b781d0f6eeb84a6108569a2b4cf5a","architects","precedent","asymmetric",6,0.545454545454545
"850b781d0f6eeb84a6108569a2b4cf5a","architects","precedent","symmetric",3,0.272727272727273
"850b781d0f6eeb84a6108569a2b4cf5a","architects","precedent","none",2,0.181818181818182
"850b781d0f6eeb84a6108569a2b4cf5a","fundraising","no_interaction","asymmetric",2,0.181818181818182
"850b781d0f6eeb84a6108569a2b4cf5a","fundraising","no_interaction","symmetric",3,0.272727272727273
"850b781d0f6eeb84a6108569a2b4cf5a","fundraising","no_interaction","none",6,0.545454545454545
"850b781d0f6eeb84a6108569a2b4cf5a","conversation","no_interaction","asymmetric",3,0.230769230769231
"850b781d0f6eeb84a6108569a2b4cf5a","conversation","no_interaction","symmetric",5,0.384615384615385
"850b781d0f6eeb84a6108569a2b4cf5a","conversation","no_interaction","none",5,0.384615384615385
"850b781d0f6eeb84a6108569a2b4cf5a","police","precedent","asymmetric",5,0.384615384615385
"850b781d0f6eeb84a6108569a2b4cf5a","police","precedent","symmetric",6,0.461538461538462
"850b781d0f6eeb84a6108569a2b4cf5a","police","precedent","none",2,0.153846153846154
"850b781d0f6eeb84a6108569a2b4cf5a","restaurant","reciprocity","asymmetric",2,0.2
"850b781d0f6eeb84a6108569a2b4cf5a","restaurant","reciprocity","symmetric",7,0.7
"850b781d0f6eeb84a6108569a2b4cf5a","restaurant","reciprocity","none",1,0.1
"850b781d0f6eeb84a6108569a2b4cf5a","feedback","precedent","asymmetric",6,0.5
"850b781d0f6eeb84a6108569a2b4cf5a","feedback","precedent","symmetric",3,0.25
"850b781d0f6eeb84a6108569a2b4cf5a","feedback","precedent","none",3,0.25
"850b781d0f6eeb84a6108569a2b4cf5a","meeting prep","reciprocity","asymmetric",3,0.25
"850b781d0f6eeb84a6108569a2b4cf5a","meeting prep","reciprocity","symmetric",6,0.5
"850b781d0f6eeb84a6108569a2b4cf5a","meeting prep","reciprocity","none",3,0.25
"850b781d0f6eeb84a6108569a2b4cf5a","groceries","reciprocity","asymmetric",2,0.181818181818182
"850b781d0f6eeb84a6108569a2b4cf5a","groceries","reciprocity","symmetric",6,0.545454545454545
"850b781d0f6eeb84a6108569a2b4cf5a","groceries","reciprocity","none",3,0.272727272727273
