"subject_id","story","social_interaction","relationship","likert_rating","normalized_likert_rating"
"2ec7dc6272e27ba957b43e6082240645","police","repeating","equal",2,0.2
"2ec7dc6272e27ba957b43e6082240645","police","repeating","lower",6,0.6
"2ec7dc6272e27ba957b43e6082240645","babysitting","no_interaction","higher",2,0.2
"2ec7dc6272e27ba957b43e6082240645","babysitting","no_interaction","equal",6,0.6
"2ec7dc6272e27ba957b43e6082240645","babysitting","no_interaction","lower",2,0.2
"2ec7dc6272e27ba957b43e6082240645","housemates","repeating","higher",3,0.272727272727273
"2ec7dc6272e27ba957b43e6082240645","housemates","repeating","equal",3,0.272727272727273
"2ec7dc6272e27ba957b43e6082240645","housemates","repeating","lower",5,0.454545454545455
"2ec7dc6272e27ba957b43e6082240645","feedback","repeating","higher",5,0.454545454545455
"2ec7dc6272e27ba957b43e6082240645","feedback","repeating","equal",3,0.272727272727273
"2ec7dc6272e27ba957b43e6082240645","feedback","repeating","lower",3,0.272727272727273
"2ec7dc6272e27ba957b43e6082240645","groceries","alternating","higher",2,0.2
"2ec7dc6272e27ba957b43e6082240645","groceries","alternating","equal",6,0.6
"2ec7dc6272e27ba957b43e6082240645","groceries","alternating","lower",2,0.2
"2ec7dc6272e27ba957b43e6082240645","architects","repeating","higher",4,0.307692307692308
"2ec7dc6272e27ba957b43e6082240645","architects","repeating","equal",5,0.384615384615385
"2ec7dc6272e27ba957b43e6082240645","architects","repeating","lower",4,0.307692307692308
"2ec7dc6272e27ba957b43e6082240645","family meals","repeating","higher",5,0.454545454545455
"2ec7dc6272e27ba957b43e6082240645","family meals","repeating","equal",3,0.272727272727273
"2ec7dc6272e27ba957b43e6082240645","family meals","repeating","lower",3,0.272727272727273
"2881d159e40a329d92f48b32ca38daaf","fundraising","alternating","higher",2,0.2
"2881d159e40a329d92f48b32ca38daaf","fundraising","alternating","equal",6,0.6
"2881d159e40a329d92f48b32ca38daaf","fundraising","alternating","lower",2,0.2
"2881d159e40a329d92f48b32ca38daaf","meeting location","alternating","higher",2,0.2
"2881d159e40a329d92f48b32ca38daaf","meeting location","alternating","equal",6,0.6
"2881d159e40a329d92f48b32ca38daaf","meeting location","alternating","lower",2,0.2
"2881d159e40a329d92f48b32ca38daaf","coffee","repeating","higher",5,0.357142857142857
"2881d159e40a329d92f48b32ca38daaf","coffee","repeating","equal",6,0.428571428571429
"2881d159e40a329d92f48b32ca38daaf","coffee","repeating","lower",3,0.214285714285714
"2881d159e40a329d92f48b32ca38daaf","conversation","no_interaction","higher",4,0.285714285714286
"2881d159e40a329d92f48b32ca38daaf","conversation","no_interaction","equal",6,0.428571428571429
"2881d159e40a329d92f48b32ca38daaf","conversation","no_interaction","lower",4,0.285714285714286
"2881d159e40a329d92f48b32ca38daaf","meeting prep","repeating","higher",6,0.5
"2881d159e40a329d92f48b32ca38daaf","meeting prep","repeating","equal",4,0.333333333333333
"2881d159e40a329d92f48b32ca38daaf","meeting prep","repeating","lower",2,0.166666666666667
"2881d159e40a329d92f48b32ca38daaf","group project","no_interaction","higher",2,0.2
"2881d159e40a329d92f48b32ca38daaf","group project","no_interaction","equal",6,0.6
"2881d159e40a329d92f48b32ca38daaf","group project","no_interaction","lower",2,0.2
"2881d159e40a329d92f48b32ca38daaf","groceries","alternating","higher",2,0.2
"2881d159e40a329d92f48b32ca38daaf","groceries","alternating","equal",6,0.6
"2881d159e40a329d92f48b32ca38daaf","groceries","alternating","lower",2,0.2
"2881d159e40a329d92f48b32ca38daaf","scheduling","no_interaction","higher",2,0.25
