"subject_id","story","social_interaction","relationship","likert_rating"
"2ec7dc6272e27ba957b43e6082240645","coffee","no_interaction","less",3
"2ec7dc6272e27ba957b43e6082240645","gifts","no_interaction","more",3
"2ec7dc6272e27ba957b43e6082240645","gifts","no_interaction","equal",5
"2ec7dc6272e27ba957b43e6082240645","gifts","no_interaction","less",3
"2ec7dc6272e27ba957b43e6082240645","concerts","precedent","more",5
"2ec7dc6272e27ba957b43e6082240645","concerts","precedent","equal",3
"2ec7dc6272e27ba957b43e6082240645","concerts","precedent","less",3
"2ec7dc6272e27ba957b43e6082240645","conversation","no_interaction","more",2
"2ec7dc6272e27ba957b43e6082240645","conversation","no_interaction","equal",6
"2ec7dc6272e27ba957b43e6082240645","conversation","no_interaction","less",2
"2ec7dc6272e27ba957b43e6082240645","fundraising","no_interaction","more",4
"2ec7dc6272e27ba957b43e6082240645","fundraising","no_interaction","equal",6
"2ec7dc6272e27ba957b43e6082240645","fundraising","no_interaction","less",4
"2ec7dc6272e27ba957b43e6082240645","meeting prep","reciprocity","more",2
"2ec7dc6272e27ba957b43e6082240645","meeting prep","reciprocity","equal",6
"2ec7dc6272e27ba957b43e6082240645","meeting prep","reciprocity","less",2
"2ec7dc6272e27ba957b43e6082240645","meeting location","reciprocity","more",3
"2ec7dc6272e27ba957b43e6082240645","meeting location","reciprocity","equal",6
"2ec7dc6272e27ba957b43e6082240645","meeting location","reciprocity","less",3
"2ec7dc6272e27ba957b43e6082240645","group project","reciprocity","more",3
"2ec7dc6272e27ba957b43e6082240645","group project","reciprocity","equal",6
"2ec7dc6272e27ba957b43e6082240645","group project","reciprocity","less",3
"2ec7dc6272e27ba957b43e6082240645","restaurant","reciprocity","more",2
"2ec7dc6272e27ba957b43e6082240645","restaurant","reciprocity","equal",6
"2ec7dc6272e27ba957b43e6082240645","restaurant","reciprocity","less",2
"2ec7dc6272e27ba957b43e6082240645","scheduling","no_interaction","more",4
"2ec7dc6272e27ba957b43e6082240645","scheduling","no_interaction","equal",4
"2ec7dc6272e27ba957b43e6082240645","scheduling","no_interaction","less",4
"2ec7dc6272e27ba957b43e6082240645","weekend","reciprocity","more",2
"2ec7dc6272e27ba957b43e6082240645","weekend","reciprocity","equal",6
"2ec7dc6272e27ba957b43e6082240645","weekend","reciprocity","less",2
"2ec7dc6272e27ba957b43e6082240645","police","precedent","more",2
"2ec7dc6272e27ba957b43e6082240645","police","precedent","equal",2
"2ec7dc6272e27ba957b43e6082240645","police","precedent","less",6
"2ec7dc6272e27ba957b43e6082240645","babysitting","no_interaction","more",2
"2ec7dc6272e27ba957b43e6082240645","babysitting","no_interaction","equal",6
"2ec7dc6272e27ba957b43e6082240645","babysitting","no_interaction","less",2
"2ec7dc6272e27ba957b43e6082240645","housemates","precedent","more",3
"2ec7dc6272e27ba957b43e6082240645","housemates","precedent","equal",3
"2ec7dc6272e27ba957b43e6082240645","housemates","precedent","less",5
"2ec7dc6272e27ba957b43e6082240645","feedback","precedent","more",5
"2ec7dc6272e27ba957b43e6082240645","feedback","precedent","equal",3
"2ec7dc6272e27ba957b43e6082240645","feedback","precedent","less",3
"2ec7dc6272e27ba957b43e6082240645","groceries","reciprocity","more",2
